id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2002-0954,"The encryption algorithms for enable and passwd commands on Cisco PIX Firewall can be executed quickly due to a limited number of rounds, which make it easier for an attacker to decrypt the passwords using brute force techniques.",QUIC,NVD-CWE-Other,,,,2002-10-04T04:00:00.000,,,nvd,the encryption algorithms for enable and passwd commands on cisco pix firewall can be executed quickly due to a limited number of rounds which make it easier for an attacker to decrypt the passwords using brute force techniques,"The encryption algorithms for enable and passwd commands on Cisco PIX Firewall can be executed quickly due to a limited number of rounds, which make it easier for an attacker to decrypt the passwords using brute force techniques.",
CVE-2002-1311,"Courier sqwebmail before 0.40.0 does not quickly drop privileges after startup in certain cases, which could allow local users to read arbitrary files.",QUIC,NVD-CWE-Other,,,,2002-11-29T05:00:00.000,,,nvd,courier sqwebmail before 0400 does not quickly drop privileges after startup in certain cases which could allow local users to read arbitrary files,"Courier sqwebmail before 0.40.0 does not quickly drop privileges after startup in certain cases, which could allow local users to read arbitrary files.",
CVE-2002-1647,"The quick login feature in Slash Slashcode does not redirect the user to an alternate URL when the wrong password is provided, which makes it easier for remote web sites to guess the proper passwords by reading the username and password from the Referrer URL.",QUIC,NVD-CWE-Other,,,,2002-12-31T05:00:00.000,,,nvd,the quick login feature in slash slashcode does not redirect the user to an alternate url when the wrong password is provided which makes it easier for remote web sites to guess the proper passwords by reading the username and password from the referrer url,"The quick login feature in Slash Slashcode does not redirect the user to an alternate URL when the wrong password is provided, which makes it easier for remote web sites to guess the proper passwords by reading the username and password from the Referrer URL.",
CVE-2002-1763,"The dtscreen Sun Solaris 8 CDE screensaver crashes when the ""Shift"" and ""Return"" keys are pressed repeatedly and quickly, which allows local users to access the current session.",QUIC,NVD-CWE-Other,,,,2002-12-31T05:00:00.000,,,nvd,the dtscreen sun solaris 8 cde screensaver crashes when the shift and return keys are pressed repeatedly and quickly which allows local users to access the current session,"The dtscreen Sun Solaris 8 CDE screensaver crashes when the ""Shift"" and ""Return"" keys are pressed repeatedly and quickly, which allows local users to access the current session.",
CVE-2002-2287,PHP remote file inclusion vulnerability in quick_reply.php for phpBB Advanced Quick Reply Hack 1.0.0 and 1.1.0 allows remote attackers to execute arbitrary PHP code via the phpbb_root_path parameter.,QUIC,CWE-94,,,,2002-12-31T05:00:00.000,,,nvd,php remote file inclusion vulnerability in quick_replyphp for phpbb advanced quick reply hack 100 and 110 allows remote attackers to execute arbitrary php code via the phpbb_root_path parameter,PHP remote file inclusion vulnerability in quick_reply.php for phpBB Advanced Quick Reply Hack 1.0.0 and 1.1.0 allows remote attackers to execute arbitrary PHP code via the phpbb_root_path parameter.,
CVE-2003-0050,parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to execute arbitrary code via shell metacharacters.,QUIC,NVD-CWE-Other,,,,2003-03-07T05:00:00.000,,,nvd,parse_xmlcgi in apple darwin streaming administration server 412 and quicktime streaming server 411 allows remote attackers to execute arbitrary code via shell metacharacters,parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to execute arbitrary code via shell metacharacters.,
CVE-2003-0051,parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to obtain the physical path of the server's installation path via a NULL file parameter.,QUIC,NVD-CWE-Other,,,,2003-03-07T05:00:00.000,,,nvd,parse_xmlcgi in apple darwin streaming administration server 412 and quicktime streaming server 411 allows remote attackers to obtain the physical path of the servers installation path via a null file parameter,parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to obtain the physical path of the server's installation path via a NULL file parameter.,
CVE-2003-0052,parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to list arbitrary directories.,QUIC,NVD-CWE-Other,,,,2003-03-07T05:00:00.000,,,nvd,parse_xmlcgi in apple darwin streaming administration server 412 and quicktime streaming server 411 allows remote attackers to list arbitrary directories,parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to list arbitrary directories.,
CVE-2003-0053,"Cross-site scripting (XSS) vulnerability in parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to insert arbitrary script via the filename parameter, which is inserted into an error message.",QUIC,NVD-CWE-Other,,,,2003-03-07T05:00:00.000,,,nvd,crosssite scripting xss vulnerability in parse_xmlcgi in apple darwin streaming administration server 412 and quicktime streaming server 411 allows remote attackers to insert arbitrary script via the filename parameter which is inserted into an error message,"Cross-site scripting (XSS) vulnerability in parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to insert arbitrary script via the filename parameter, which is inserted into an error message.",
CVE-2003-0054,"Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to execute certain code via a request to port 7070 with the script in an argument to the rtsp DESCRIBE method, which is inserted into a log file and executed when the log is viewed using a",QUIC,NVD-CWE-Other,,,,2003-03-07T05:00:00.000,,,nvd,apple darwin streaming administration server 412 and quicktime streaming server 411 allows remote attackers to execute certain code via a request to port 7070 with the script in an argument to the rtsp describe method which is inserted into a log file and executed when the log is viewed using a,"Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to execute certain code via a request to port 7070 with the script in an argument to the rtsp DESCRIBE method, which is inserted into a log file and executed when the log is viewed using a",
CVE-2003-0055,Buffer overflow in the MP3 broadcasting module of Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to execute arbitrary code via a long filename.,QUIC,NVD-CWE-Other,,,,2003-03-07T05:00:00.000,,,nvd,buffer overflow in the mp3 broadcasting module of apple darwin streaming administration server 412 and quicktime streaming server 411 allows remote attackers to execute arbitrary code via a long filename,Buffer overflow in the MP3 broadcasting module of Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to execute arbitrary code via a long filename.,
CVE-2003-0168,Buffer overflow in Apple QuickTime Player 5.x and 6.0 for Windows allows remote attackers to execute arbitrary code via a long QuickTime URL.,QUIC,NVD-CWE-Other,,,,2003-04-02T05:00:00.000,,,nvd,buffer overflow in apple quicktime player 5x and 60 for windows allows remote attackers to execute arbitrary code via a long quicktime url,Buffer overflow in Apple QuickTime Player 5.x and 6.0 for Windows allows remote attackers to execute arbitrary code via a long QuickTime URL.,
CVE-2003-0421,"Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to cause a denial of service (crash) via an MS-DOS device name (e.g. AUX) in a request to HTTP port 1220, a different vulnerability than CVE-2003-0502.",QUIC,NVD-CWE-Other,,,,2003-08-27T04:00:00.000,,,nvd,apple quicktime  darwin streaming server before 413f allows remote attackers to cause a denial of service crash via an msdos device name eg aux in a request to http port 1220 a different vulnerability than cve20030502,"Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to cause a denial of service (crash) via an MS-DOS device name (e.g. AUX) in a request to HTTP port 1220, a different vulnerability than CVE-2003-0502.",
CVE-2003-0422,Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to cause a denial of service (crash) via a request to view_broadcast.cgi that does not contain the required parameters.,QUIC,NVD-CWE-Other,,,,2003-08-27T04:00:00.000,,,nvd,apple quicktime  darwin streaming server before 413f allows remote attackers to cause a denial of service crash via a request to view_broadcastcgi that does not contain the required parameters,Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to cause a denial of service (crash) via a request to view_broadcast.cgi that does not contain the required parameters.,
CVE-2003-0423,parse_xml.cgi in Apple QuickTime / Darwin Streaming Server before 4.1.3g allows remote attackers to obtain the source code for parseable files via the filename parameter.,QUIC,NVD-CWE-Other,,,,2003-08-27T04:00:00.000,,,nvd,parse_xmlcgi in apple quicktime  darwin streaming server before 413g allows remote attackers to obtain the source code for parseable files via the filename parameter,parse_xml.cgi in Apple QuickTime / Darwin Streaming Server before 4.1.3g allows remote attackers to obtain the source code for parseable files via the filename parameter.,
CVE-2003-0424,"Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to obtain the source code for scripts by appending encoded space (%20) or . (%2e) characters to an HTTP request for the script, e.g. view_broadcast.cgi.",QUIC,NVD-CWE-Other,,,,2003-08-27T04:00:00.000,,,nvd,apple quicktime  darwin streaming server before 413f allows remote attackers to obtain the source code for scripts by appending encoded space 20 or  2e characters to an http request for the script eg view_broadcastcgi,"Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to obtain the source code for scripts by appending encoded space (%20) or . (%2e) characters to an HTTP request for the script, e.g. view_broadcast.cgi.",
CVE-2003-0425,Directory traversal vulnerability in Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to read arbitrary files via a ... (triple dot) in an HTTP request.,QUIC,NVD-CWE-Other,,,,2003-08-27T04:00:00.000,,,nvd,directory traversal vulnerability in apple quicktime  darwin streaming server before 413f allows remote attackers to read arbitrary files via a  triple dot in an http request,Directory traversal vulnerability in Apple QuickTime / Darwin Streaming Server before 4.1.3f allows remote attackers to read arbitrary files via a ... (triple dot) in an HTTP request.,
CVE-2003-0426,"The installation of Apple QuickTime / Darwin Streaming Server before 4.1.3f starts the administration server with a ""Setup Assistant"" page that allows remote attackers to set the administrator password and gain privileges before the real administrator.",QUIC,NVD-CWE-Other,,,,2003-08-27T04:00:00.000,,,nvd,the installation of apple quicktime  darwin streaming server before 413f starts the administration server with a setup assistant page that allows remote attackers to set the administrator password and gain privileges before the real administrator,"The installation of Apple QuickTime / Darwin Streaming Server before 4.1.3f starts the administration server with a ""Setup Assistant"" page that allows remote attackers to set the administrator password and gain privileges before the real administrator.",
CVE-2003-0502,"Apple QuickTime / Darwin Streaming Server before 4.1.3g allows remote attackers to cause a denial of service (crash) via a .. (dot dot) sequence followed by an MS-DOS device name (e.g. AUX) in a request to HTTP port 1220, a different vulnerability than CVE-2003-0421.",QUIC,NVD-CWE-Other,,,,2003-08-27T04:00:00.000,,,nvd,apple quicktime  darwin streaming server before 413g allows remote attackers to cause a denial of service crash via a  dot dot sequence followed by an msdos device name eg aux in a request to http port 1220 a different vulnerability than cve20030421,"Apple QuickTime / Darwin Streaming Server before 4.1.3g allows remote attackers to cause a denial of service (crash) via a .. (dot dot) sequence followed by an MS-DOS device name (e.g. AUX) in a request to HTTP port 1220, a different vulnerability than CVE-2003-0421.",
CVE-2003-0774,"saned in sane-backends 1.0.7 and earlier does not quickly handle connection drops, which allows remote attackers to cause a denial of service (segmentation fault) when invalid memory is accessed.",QUIC,NVD-CWE-Other,,,,2003-09-22T04:00:00.000,,,nvd,saned in sanebackends 107 and earlier does not quickly handle connection drops which allows remote attackers to cause a denial of service segmentation fault when invalid memory is accessed,"saned in sane-backends 1.0.7 and earlier does not quickly handle connection drops, which allows remote attackers to cause a denial of service (segmentation fault) when invalid memory is accessed.",
CVE-2003-0871,"Unknown vulnerability in QuickTime Java in Mac OS X v10.3 and Mac OS X Server 10.3 allows attackers to gain ""unauthorized access to a system.""",QUIC,NVD-CWE-Other,,,,2003-11-03T05:00:00.000,,,nvd,unknown vulnerability in quicktime java in mac os x v103 and mac os x server 103 allows attackers to gain unauthorized access to a system,"Unknown vulnerability in QuickTime Java in Mac OS X v10.3 and Mac OS X Server 10.3 allows attackers to gain ""unauthorized access to a system.""",
CVE-2003-1091,Integer overflow in MP3Broadcaster for Apple QuickTime/Darwin Streaming Server 4.1.3 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via malformed ID3 tags in MP3 files.,QUIC,NVD-CWE-Other,,,,2003-12-31T05:00:00.000,,,nvd,integer overflow in mp3broadcaster for apple quicktimedarwin streaming server 413 allows remote attackers to cause a denial of service crash and possibly execute arbitrary code via malformed id3 tags in mp3 files,Integer overflow in MP3Broadcaster for Apple QuickTime/Darwin Streaming Server 4.1.3 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via malformed ID3 tags in MP3 files.,
CVE-2003-1414,Directory traversal vulnerability in parse_xml.cg Apple Darwin Streaming Server 4.1.2 and Apple Quicktime Streaming Server 4.1.1 allows remote attackers to read arbitrary files via a ... (triple dot) in the filename parameter.,QUIC,CWE-22,,,,2003-12-31T05:00:00.000,,,nvd,directory traversal vulnerability in parse_xmlcg apple darwin streaming server 412 and apple quicktime streaming server 411 allows remote attackers to read arbitrary files via a  triple dot in the filename parameter,Directory traversal vulnerability in parse_xml.cg Apple Darwin Streaming Server 4.1.2 and Apple Quicktime Streaming Server 4.1.1 allows remote attackers to read arbitrary files via a ... (triple dot) in the filename parameter.,
CVE-2003-1486,"Phorum 3.4 through 3.4.2 allows remote attackers to obtain the full path of the web server via an incorrect HTTP request to (1) smileys.php, (2) quick_listrss.php, (3) purge.php, (4) news.php, (5) memberlist.php, (6) forum_listrss.php, (7) forum_list_rdf.php, (8) forum_list.php, or (9) move.php, whi",QUIC,CWE-200,,,,2003-12-31T05:00:00.000,,,nvd,phorum 34 through 342 allows remote attackers to obtain the full path of the web server via an incorrect http request to 1 smileysphp 2 quick_listrssphp 3 purgephp 4 newsphp 5 memberlistphp 6 forum_listrssphp 7 forum_list_rdfphp 8 forum_listphp or 9 movephp whi,"Phorum 3.4 through 3.4.2 allows remote attackers to obtain the full path of the web server via an incorrect HTTP request to (1) smileys.php, (2) quick_listrss.php, (3) purge.php, (4) news.php, (5) memberlist.php, (6) forum_listrss.php, (7) forum_list_rdf.php, (8) forum_list.php, or (9) move.php, whi",
CVE-2004-0169,"QuickTime Streaming Server in MacOS X 10.2.8 and 10.3.2 allows remote attackers to cause a denial of service (crash) via DESCRIBE requests with long User-Agent fields, which causes an Assert error to be triggered in the BufferIsFull function.",QUIC,NVD-CWE-Other,,,,2004-03-15T05:00:00.000,,,nvd,quicktime streaming server in macos x 1028 and 1032 allows remote attackers to cause a denial of service crash via describe requests with long useragent fields which causes an assert error to be triggered in the bufferisfull function,"QuickTime Streaming Server in MacOS X 10.2.8 and 10.3.2 allows remote attackers to cause a denial of service (crash) via DESCRIBE requests with long User-Agent fields, which causes an Assert error to be triggered in the BufferIsFull function.",
CVE-2004-0431,"Integer overflow in Apple QuickTime (QuickTime.qts) before 6.5.1 allows attackers to execute arbitrary code via a large ""number of entries"" field in the sample-to-chunk table data for a .mov movie file, which leads to a heap-based buffer overflow.",QUIC,NVD-CWE-Other,,,,2004-07-07T04:00:00.000,,,nvd,integer overflow in apple quicktime quicktimeqts before 651 allows attackers to execute arbitrary code via a large number of entries field in the sampletochunk table data for a mov movie file which leads to a heapbased buffer overflow,"Integer overflow in Apple QuickTime (QuickTime.qts) before 6.5.1 allows attackers to execute arbitrary code via a large ""number of entries"" field in the sample-to-chunk table data for a .mov movie file, which leads to a heap-based buffer overflow.",
CVE-2004-0701,"Sun Ray Server Software (SRSS) 1.3 and 2.0 for Solaris 2.6, 7 and 8 does not properly detect a smartcard removal when the card is quickly removed, reinserted, and removed again, which could cause a user session to stay logged in and allow local users to gain unauthorized access.",QUIC,NVD-CWE-Other,,,,2004-07-27T04:00:00.000,,,nvd,sun ray server software srss 13 and 20 for solaris 26 7 and 8 does not properly detect a smartcard removal when the card is quickly removed reinserted and removed again which could cause a user session to stay logged in and allow local users to gain unauthorized access,"Sun Ray Server Software (SRSS) 1.3 and 2.0 for Solaris 2.6, 7 and 8 does not properly detect a smartcard removal when the card is quickly removed, reinserted, and removed again, which could cause a user session to stay logged in and allow local users to gain unauthorized access.",
CVE-2004-0814,"Multiple race conditions in the terminal layer in Linux 2.4.x, and 2.6.x before 2.6.9, allow (1) local users to obtain portions of kernel data via a TIOCSETD ioctl call to a terminal interface that is being accessed by another thread, or (2) remote attackers to cause a denial of service (panic) by s",QUIC,NVD-CWE-Other,,,,2004-12-23T05:00:00.000,,,nvd,multiple race conditions in the terminal layer in linux 24x and 26x before 269 allow 1 local users to obtain portions of kernel data via a tiocsetd ioctl call to a terminal interface that is being accessed by another thread or 2 remote attackers to cause a denial of service panic by s,"Multiple race conditions in the terminal layer in Linux 2.4.x, and 2.6.x before 2.6.9, allow (1) local users to obtain portions of kernel data via a TIOCSETD ioctl call to a terminal interface that is being accessed by another thread, or (2) remote attackers to cause a denial of service (panic) by s",
CVE-2004-0825,"QuickTime Streaming Server in Mac OS X Server 10.2.8, 10.3.4, and 10.3.5 allows remote attackers to cause a denial of service (application deadlock) via a certain sequence of operations.",QUIC,NVD-CWE-Other,,,,2004-12-31T05:00:00.000,,,nvd,quicktime streaming server in mac os x server 1028 1034 and 1035 allows remote attackers to cause a denial of service application deadlock via a certain sequence of operations,"QuickTime Streaming Server in Mac OS X Server 10.2.8, 10.3.4, and 10.3.5 allows remote attackers to cause a denial of service (application deadlock) via a certain sequence of operations.",
CVE-2004-2310,Cross-site scripting (XSS) vulnerability in webadmin.nsf in Lotus Domino R6 6.5.1 allows remote attackers to inject arbitrary web script or HTML via a Domino command in the Quick Console.,QUIC,NVD-CWE-Other,,,,2004-12-31T05:00:00.000,,,nvd,crosssite scripting xss vulnerability in webadminnsf in lotus domino r6 651 allows remote attackers to inject arbitrary web script or html via a domino command in the quick console,Cross-site scripting (XSS) vulnerability in webadmin.nsf in Lotus Domino R6 6.5.1 allows remote attackers to inject arbitrary web script or HTML via a Domino command in the Quick Console.,
CVE-2004-2472,"Agnitum Outpost Pro Firewall 2.1 allows remote attackers to cause a denial of service (CPU consumption) via a flood of small, invalid packets, which can not be processed quickly enough by Outpost Pro.",QUIC,NVD-CWE-Other,,,,2004-12-31T05:00:00.000,,,nvd,agnitum outpost pro firewall 21 allows remote attackers to cause a denial of service cpu consumption via a flood of small invalid packets which can not be processed quickly enough by outpost pro,"Agnitum Outpost Pro Firewall 2.1 allows remote attackers to cause a denial of service (CPU consumption) via a flood of small, invalid packets, which can not be processed quickly enough by Outpost Pro.",
CVE-2004-2527,"The local and remote desktop login screens in Microsoft Windows XP before SP2 and 2003 allow remote attackers to cause a denial of service (CPU and memory consumption) by repeatedly using the WinKey+""U"" key combination, which causes multiple copies of Windows Utility Manager to be loaded more quickl",QUIC,NVD-CWE-Other,,,,2004-12-31T05:00:00.000,,,nvd,the local and remote desktop login screens in microsoft windows xp before sp2 and 2003 allow remote attackers to cause a denial of service cpu and memory consumption by repeatedly using the winkeyu key combination which causes multiple copies of windows utility manager to be loaded more quickl,"The local and remote desktop login screens in Microsoft Windows XP before SP2 and 2003 allow remote attackers to cause a denial of service (CPU and memory consumption) by repeatedly using the WinKey+""U"" key combination, which causes multiple copies of Windows Utility Manager to be loaded more quickl",
CVE-2004-2551,"Multiple SQL injection vulnerabilities in Layton HelpBox 3.0.1 allow remote attackers to execute arbitrary SQL commands via (1) the sys_comment_id parameter in editcommentenduser.asp, (2) the sys_suspend_id parameter in editsuspensionuser.asp, (3) the table parameter in export_data.asp, (4) the sys_",QUIC,NVD-CWE-Other,,,,2004-12-31T05:00:00.000,,,nvd,multiple sql injection vulnerabilities in layton helpbox 301 allow remote attackers to execute arbitrary sql commands via 1 the sys_comment_id parameter in editcommentenduserasp 2 the sys_suspend_id parameter in editsuspensionuserasp 3 the table parameter in export_dataasp 4 the sys_,"Multiple SQL injection vulnerabilities in Layton HelpBox 3.0.1 allow remote attackers to execute arbitrary SQL commands via (1) the sys_comment_id parameter in editcommentenduser.asp, (2) the sys_suspend_id parameter in editsuspensionuser.asp, (3) the table parameter in export_data.asp, (4) the sys_",
CVE-2004-2747,"Directory traversal vulnerability in Pablo Software Solutions Quick 'n Easy FTP Server 1.77, and possibly earlier versions, allows remote authenticated users to determine the existence of arbitrary files via a .. (dot dot) in the DEL command, which triggers different error messages depending on whet",QUIC,CWE-22,,,,2004-12-31T05:00:00.000,,,nvd,directory traversal vulnerability in pablo software solutions quick n easy ftp server 177 and possibly earlier versions allows remote authenticated users to determine the existence of arbitrary files via a  dot dot in the del command which triggers different error messages depending on whet,"Directory traversal vulnerability in Pablo Software Solutions Quick 'n Easy FTP Server 1.77, and possibly earlier versions, allows remote authenticated users to determine the existence of arbitrary files via a .. (dot dot) in the DEL command, which triggers different error messages depending on whet",
CVE-2004-0926,Heap-based buffer overflow in Apple QuickTime on Mac OS 10.2.8 through 10.3.5 may allow remote attackers to execute arbitrary code via a certain BMP image.,QUIC,NVD-CWE-Other,,,,2005-01-27T05:00:00.000,,,nvd,heapbased buffer overflow in apple quicktime on mac os 1028 through 1035 may allow remote attackers to execute arbitrary code via a certain bmp image,Heap-based buffer overflow in Apple QuickTime on Mac OS 10.2.8 through 10.3.5 may allow remote attackers to execute arbitrary code via a certain BMP image.,
CVE-2004-0988,"Integer overflow on Apple QuickTime before 6.5.2, when running on Windows systems, allows remote attackers to cause a denial of service (memory consumption) via certain inputs that cause a large memory operation.",QUIC,NVD-CWE-Other,,,,2005-03-01T05:00:00.000,,,nvd,integer overflow on apple quicktime before 652 when running on windows systems allows remote attackers to cause a denial of service memory consumption via certain inputs that cause a large memory operation,"Integer overflow on Apple QuickTime before 6.5.2, when running on Windows systems, allows remote attackers to cause a denial of service (memory consumption) via certain inputs that cause a large memory operation.",
CVE-2005-0129,"The Quick Buttons feature in Konversation 0.15 allows remote attackers to execute certain IRC commands via a channel name containing ""%"" variables, which are recursively expanded by the Server::parseWildcards function when the Part Button is selected.",QUIC,NVD-CWE-Other,,,,2005-04-14T04:00:00.000,,,nvd,the quick buttons feature in konversation 015 allows remote attackers to execute certain irc commands via a channel name containing  variables which are recursively expanded by the serverparsewildcards function when the part button is selected,"The Quick Buttons feature in Konversation 0.15 allows remote attackers to execute certain IRC commands via a channel name containing ""%"" variables, which are recursively expanded by the Server::parseWildcards function when the Part Button is selected.",
CVE-2005-0131,"The Quick Connection dialog in Konversation 0.15 inadvertently uses the user-provided password as the nickname instead of the user-provided nickname when connecting to the IRC server, which could leak the password to other users.",QUIC,NVD-CWE-Other,,,,2005-04-14T04:00:00.000,,,nvd,the quick connection dialog in konversation 015 inadvertently uses the userprovided password as the nickname instead of the userprovided nickname when connecting to the irc server which could leak the password to other users,"The Quick Connection dialog in Konversation 0.15 inadvertently uses the user-provided password as the nickname instead of the user-provided nickname when connecting to the IRC server, which could leak the password to other users.",
